Kod;Nazwa;Rok;Kategoria;Jednostka;Value
200000;DOLNOŚLĄSKIE;2013;ogółem;-;111047.0
200000;DOLNOŚLĄSKIE;2013;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;11129.0
200000;DOLNOŚLĄSKIE;2013;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;13176.0
200000;DOLNOŚLĄSKIE;2013;przeciwko mieniu;-;65998.0
200000;DOLNOŚLĄSKIE;2013;przeciwko rodzinie i opiece;-;2888.0
200000;DOLNOŚLĄSKIE;2013;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;5544.0
200000;DOLNOŚLĄSKIE;2013;przeciwko życiu i zdrowiu;-;2255.0
200000;DOLNOŚLĄSKIE;2014;o charakterze gospodarczym;-;12858.0
200000;DOLNOŚLĄSKIE;2014;o charakterze kryminalnym;-;61386.0
200000;DOLNOŚLĄSKIE;2014;ogółem;-;83566.0
200000;DOLNOŚLĄSKIE;2014;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;7005.0
200000;DOLNOŚLĄSKIE;2014;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;7165.0
200000;DOLNOŚLĄSKIE;2014;przeciwko mieniu;-;51180.0
200000;DOLNOŚLĄSKIE;2014;przeciwko rodzinie i opiece;-;2393.0
200000;DOLNOŚLĄSKIE;2014;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;3057.0
200000;DOLNOŚLĄSKIE;2014;przeciwko życiu i zdrowiu;-;1752.0
200000;DOLNOŚLĄSKIE;2015;o charakterze gospodarczym;-;12437.0
200000;DOLNOŚLĄSKIE;2015;o charakterze kryminalnym;-;57976.0
200000;DOLNOŚLĄSKIE;2015;ogółem;-;79395.0
