Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
12;Poznań;19.10.2010;20;1000;588,7;1,31;3,4;0,18;38,73;8,1;6,94;2,54;0,18;2,51;0,23;4,69;0,48;1,87
13;Wigry;27.10.2010;20;1000;797,43;1,77;3,43;0,41;21,28;10,6;4,74;2,86;0,22;0,9;0,13;1,5;0,13;1,67
14;Wadąg;28.10.2010;20;1000;668,24;1,48;20,68;3,1;36;13,03;7,87;1,59;0,22;2,27;0,22;2,66;0,34;1,17
15;Wielkie;20.10.2010;20;1000;691,85;1,54;8,14;0,2;8,43;2,87;<2;;;2,7;0,15;2,22;0,22;0,82
16;Drawsko;19.10.2010;20;1000;754,32;1,68;3,5;0,42;3,08;2,24;<2;;;0,8;0,07;3,06;0,26;3,83
17;Niesłysz;10.10.2010;20;1000;676,12;1,5;13,69;0,37;17,7;11,66;10,41;5,21;0,59;3,4;0,27;1,39;0,16;0,41
18;Rogóźno;30.09.2010;20;1000;670,85;1,49;9,33;0,25;53,8;5,75;7,33;1,01;0,14;5,33;0,35;8,2;0,45;1,54
1;Kraków Tyniec;30.03.2011;20;1000;689,67;1,53;2,73;0,06;27,59;5,51;<2;;;5;0,35;5,81;0,41;1,16
2;Annopol;30.03.2011;20;1000;596,52;1,33;3,47;0,05;61,25;11,4;<2;;;2,43;0,24;4,65;0,35;1,91
3;Warszawa;20.05.2011;20;1000;373,93;0,83;9,05;0,18;77,68;11,53;<2;;;1,07;0,14;3,78;0,32;3,53
4;Płock;19.05.2011;20;1000;769,93;1,71;1,36;0,05;10,1;2,47;<2;;;1,8;0,2;4,71;0,39;2,62
5;Kiezmark;16.05.2011;20;1000;749,54;1,67;1,89;0,04;29,78;6,18;<2;;;1,72;0,2;4,74;0,38;2,76
6;Pułtusk;19.05.2011;20;1000;814,88;1,81;6,25;0,05;7,26;4,13;<2;;;1,75;0,19;5,5;0,4;3,14
7;Wyszków;19.05.2011;20;1000;539,68;1,2;7,29;0,12;52,84;9,25;<2;;;1,74;0,2;4,4;0,37;2,53
8;Chałupki;31.03.2011;20;1000;561,15;1,25;9,32;0,13;43,14;6,3;15,69;3,39;0,36;4,59;0,34;3,37;0,3;0,73
9;Wrocław;31.03.2011;20;1000;755,72;1,68;4,1;0,09;30,27;6,9;<2;;;2,66;0,25;5,68;0,4;2,14
10;Głogów;01.06.2011;20;1000;477,12;1,06;22,3;0,11;91,26;10,9;11,72;0,13;0,13;1,4;0,17;4,07;0,32;2,91
11;Krajnik;01.06.2011;20;1000;696,53;1,55;0,95;0,03;32,12;8,68;<2;;;3,6;0,3;3,4;0,29;0,94
12;Poznań;02.06.2011;20;1000;734,59;1,63;0,42;0,01;2,94;6,94;<2;;;1,95;0,21;4,15;0,32;2,13
13;Wigry;15.06.2011;20;1000;748,21;1,66;5,39;0,05;8,55;4,53;<2;;;1,88;0,21;2,59;0,26;1,38
14;Wadąg;15.06.2011;20;1000;618,48;1,37;6,35;0,1;17,27;3,39;<2;;;1,01;0,14;2,79;0,25;2,76
15;Wielkie;16.06.2011;20;1000;712,52;1,58;9,92;0,11;24,18;7,24;<2;;;3,07;0,28;3,44;0,3;1,12
16;Drawsko;02.06.2011;20;1000;714,8;1,59;3,25;0,07;8,84;8,63;<2;;;1,32;0,11;2,82;0,27;2,14
17;Niesłysz;01.06.2011;20;1000;672,05;1,49;5,06;0,09;15,67;8,96;<2;;;2,81;0,25;2,23;0,29;0,79
18;Rogóźno;15.06.2011;20;1000;768,5;1,71;13,22;0,13;20,17;17,11;<2;;;7,43;0,59;10,03;0,73;1,35
1;Kraków Tyniec;24.08.2011;20;1000;696,66;1,548133333;0,99;0,03;4,62;2,66;<2;;;2,69;0,25;4,28;0,34;1,591078067
2;Annopol;24.08.2011;20;1000;602;1,337777778;1,66;0,04;37,29;13,87;<2;;;2,27;0,23;5,05;0,39;2,224669604
3;Warszawa;21.10.2011;20;1000;721,7;1,603777778;1,34;0,05;18,72;7,12;<2;;;1,42;0,17;3,95;0,32;2,781690141
4;Płock;14.09.2011;20;1000;694,49;1,543311111;0,88;0,04;9,98;4,11;<2;;;1,71;0,2;4,71;0,39;2,754385965
5;Kiezmark;13.09.2011;20;1000;749,21;1,664911111;0,88;0,02;<2;;<2;;;1,62;0,18;6,48;0,43;4
6;Pułtusk;06.10.2011;20;1000;654,07;1,453488889;5,62;0,09;35,52;12,93;<2;;;2,26;0,22;3,62;0,26;1,601769912
