Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 12h,"66,2"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Dzień 16h,63
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"56,1"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"56,4"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"56,7"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"57,4"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"57,6"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"57,9"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"58,1"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"58,2"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Noc 8h,"58,7"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"61,6"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"61,9"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,62
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"62,3"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"62,6"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"64,3"
dolnośląskie,Trzebnica,"Trzebnica, ul. Wrocławska","17,05675","51,299056","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Trzebnica, ul. Wrocławska",D_02_000355_001,Wieczór 4h,"64,6"
