Województwo,Miejscowość,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
kujawsko-pomorskie,,D_04_000243_002,"P19, Kamionki Małe","18,738972","53,126861",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-24 12:00:00,2022-02-25 12:00:00,"A1, odcinek 3, Lisewo - Lubicz",Noc 8h,"68,5"
kujawsko-pomorskie,,D_04_000243_003,"P20, Rogowo","18,752056","53,078944",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-14 13:00:00,2022-02-15 13:00:00,"A1, odcinek 3, Lisewo - Lubicz",Dzień 16h,74
kujawsko-pomorskie,,D_04_000243_003,"P20, Rogowo","18,752056","53,078944",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-14 13:00:00,2022-02-15 13:00:00,"A1, odcinek 3, Lisewo - Lubicz",Noc 8h,"70,3"
kujawsko-pomorskie,,D_04_000243_004,"P21, Grębocin","18,744139","53,055083",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-14 13:00:00,2022-02-15 13:00:00,"A1, odcinek 3, Lisewo - Lubicz",Dzień 16h,"75,8"
kujawsko-pomorskie,,D_04_000243_004,"P21, Grębocin","18,744139","53,055083",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-02-14 13:00:00,2022-02-15 13:00:00,"A1, odcinek 3, Lisewo - Lubicz",Noc 8h,"71,3"
kujawsko-pomorskie,,D_04_000253_001,"P32, Zawada","18,639972","53,6255",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"47,3"
kujawsko-pomorskie,,D_04_000253_001,"P32, Zawada","18,639972","53,6255",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,"51,2"
kujawsko-pomorskie,,D_04_000253_002,"P33, Zawada","18,639056","53,623556",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"57,2"
kujawsko-pomorskie,,D_04_000253_002,"P33, Zawada","18,639056","53,623556",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-11-15 19:00:00,2022-11-16 19:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Noc 8h,54
kujawsko-pomorskie,,D_04_000253_003,"P34, Warlubie","18,629","53,613528",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2022-09-14 18:00:00,2022-09-15 18:00:00,"A1, Węzeł Kopytkowo - Węzeł Warlubie",Dzień 16h,"60,1"
